codepoint_dec,codepoint_hex,char,width
008835,U+2283,⊃,1.3970
008838,U+2286,⊆,1.3970
008839,U+2287,⊇,1.3970
008846,U+228E,⊎,1.1980
008847,U+228F,⊏,1.3970
008848,U+2290,⊐,1.3970
008849,U+2291,⊑,1.3970
008850,U+2292,⊒,1.3970
008851,U+2293,⊓,1.1980
008852,U+2294,⊔,1.1980
008853,U+2295,⊕,1.3970
008854,U+2296,⊖,1.3970
008855,U+2297,⊗,1.3970
008856,U+2298,⊘,1.3970
008857,U+2299,⊙,1.3970
008866,U+22A2,⊢,1.1000
008867,U+22A3,⊣,1.1000
008868,U+22A4,⊤,1.3970
008869,U+22A5,⊥,1.3970
008872,U+22A8,⊨,1.5980
008873,U+22A9,⊩,1.1710
008875,U+22AB,⊫,1.7420
008882,U+22B2,⊲,1.3970
008883,U+22B3,⊳,1.3970
008884,U+22B4,⊴,1.3970
008885,U+22B5,⊵,1.3970
008896,U+22C0,⋀,1.4990
008897,U+22C1,⋁,1.4990
008898,U+22C2,⋂,1.4990
008899,U+22C3,⋃,1.4990
008900,U+22C4,⋄,0.9000
008901,U+22C5,⋅,0.4980
008902,U+22C6,⋆,0.9000
008904,U+22C8,⋈,1.2990
008943,U+22EF,⋯,1.8000
008959,U+22FF,⋿,1.2540
008962,U+2302,⌂,1.0000
008968,U+2308,⌈,0.7990
008969,U+2309,⌉,0.7990
008970,U+230A,⌊,0.7990
008971,U+230B,⌋,0.7990
008977,U+2311,⌑,1.0000
008994,U+2322,⌢,1.8000
008995,U+2323,⌣,1.8000
008998,U+2326,⌦,1.0000
009166,U+23CE,⏎,1.0000
009472,U+2500,─,1.3970
009473,U+2501,━,1.0000
009480,U+2508,┈,1.0000
009481,U+2509,┉,1.0000
009552,U+2550,═,1.3970
009633,U+25A1,□,1.3440
009641,U+25A9,▩,1.0000
009642,U+25AA,▪,1.0000
009651,U+25B3,△,1.2990
009655,U+25B7,▷,1.3880
009656,U+25B8,▸,1.0000
009657,U+25B9,▹,0.9000
009665,U+25C1,◁,1.3880
009667,U+25C3,◃,0.9000
009671,U+25C7,◇,1.4370
009674,U+25CA,◊,1.1980
009675,U+25CB,○,1.3970
009755,U+261B,☛,1.0000
009824,U+2660,♠,1.3970
009825,U+2661,♡,1.3970
009826,U+2662,♢,1.3970
009827,U+2663,♣,1.3970
009837,U+266D,♭,0.6980
009838,U+266E,♮,0.6980
009839,U+266F,♯,0.6980
010000,U+2710,✐,1.0000
010003,U+2713,✓,1.3030
010007,U+2717,✗,1.1120
010070,U+2756,❖,1.0000
010073,U+2759,❙,1.0000
010151,U+27A7,➧,1.0000
010214,U+27E6,⟦,0.7250
010215,U+27E7,⟧,0.7250
010216,U+27E8,⟨,0.6980
010217,U+27E9,⟩,0.6980
010218,U+27EA,⟪,0.9420
010219,U+27EB,⟫,0.8600
010229,U+27F5,⟵,2.9690
010230,U+27F6,⟶,2.9690
010231,U+27F7,⟷,2.9690
010232,U+27F8,⟸,2.9690
010233,U+27F9,⟹,2.9690
010234,U+27FA,⟺,2.9690
010236,U+27FC,⟼,2.9690
010496,U+2900,⤀,1.7430
010510,U+290E,⤎,3.9420
010511,U+290F,⤏,3.9410
010516,U+2914,⤔,1.7420
010517,U+2915,⤕,1.7420
010518,U+2916,⤖,1.7420
010524,U+291C,⤜,2.6750
010625,U+2981,⦁,0.7680
010626,U+2982,⦂,0.7340
010627,U+2983,⦃,0.9330
010628,U+2984,⦄,0.9330
010631,U+2987,⦇,0.7000
010632,U+2988,⦈,0.7000
010633,U+2989,⦉,0.5820
010634,U+298A,⦊,0.5790
010745,U+29F9,⧹,0.5430
010752,U+2A00,⨀,1.9990
010753,U+2A01,⨁,1.9990
