codepoint_dec,codepoint_hex,char,width,rel_to_space
008708,U+2204,∄,1.0000,1.0000
008709,U+2205,∅,1.0000,1.0000
008711,U+2207,∇,1.0000,1.0000
008712,U+2208,∈,1.0000,1.0000
008713,U+2209,∉,1.0000,1.0000
008719,U+220F,∏,1.0000,1.0000
008720,U+2210,∐,1.0000,1.0000
008721,U+2211,∑,1.0000,1.0000
008723,U+2213,∓,1.0000,1.0000
008726,U+2216,∖,1.0000,1.0000
008727,U+2217,∗,0.0000,0.0000
008728,U+2218,∘,1.0000,1.0000
008729,U+2219,∙,1.0000,1.0000
008730,U+221A,√,1.0000,1.0000
008733,U+221D,∝,1.0000,1.0000
008734,U+221E,∞,1.0000,1.0000
008736,U+2220,∠,1.0000,1.0000
008741,U+2225,∥,1.0000,1.0000
008743,U+2227,∧,1.0000,1.0000
008744,U+2228,∨,1.0000,1.0000
008745,U+2229,∩,1.0000,1.0000
008746,U+222A,∪,1.0000,1.0000
008747,U+222B,∫,1.0000,1.0000
008750,U+222E,∮,1.0000,1.0000
008759,U+2237,∷,1.0000,1.0000
008764,U+223C,∼,1.0000,1.0000
008768,U+2240,≀,1.0000,1.0000
008771,U+2243,≃,1.0000,1.0000
008773,U+2245,≅,1.0000,1.0000
008776,U+2248,≈,1.0000,1.0000
008781,U+224D,≍,1.0000,1.0000
008784,U+2250,≐,1.0000,1.0000
008796,U+225C,≜,1.0000,1.0000
008800,U+2260,≠,1.0000,1.0000
008801,U+2261,≡,1.0000,1.0000
008804,U+2264,≤,1.0000,1.0000
008805,U+2265,≥,1.0000,1.0000
008810,U+226A,≪,1.0000,1.0000
008811,U+226B,≫,1.0000,1.0000
008818,U+2272,≲,1.0000,1.0000
008819,U+2273,≳,1.0000,1.0000
008826,U+227A,≺,1.0000,1.0000
008827,U+227B,≻,1.0000,1.0000
008828,U+227C,≼,1.0000,1.0000
008829,U+227D,≽,1.0000,1.0000
008834,U+2282,⊂,1.0000,1.0000
008835,U+2283,⊃,1.0000,1.0000
008838,U+2286,⊆,1.0000,1.0000
008839,U+2287,⊇,1.0000,1.0000
008846,U+228E,⊎,1.0000,1.0000
008847,U+228F,⊏,1.0000,1.0000
008848,U+2290,⊐,1.0000,1.0000
008849,U+2291,⊑,1.0000,1.0000
008850,U+2292,⊒,1.0000,1.0000
008851,U+2293,⊓,1.0000,1.0000
008852,U+2294,⊔,1.0000,1.0000
008853,U+2295,⊕,1.0000,1.0000
008854,U+2296,⊖,1.0000,1.0000
008855,U+2297,⊗,1.0000,1.0000
008856,U+2298,⊘,1.0000,1.0000
008857,U+2299,⊙,1.0000,1.0000
008866,U+22A2,⊢,1.0000,1.0000
008867,U+22A3,⊣,1.0000,1.0000
008868,U+22A4,⊤,1.0000,1.0000
008869,U+22A5,⊥,1.0000,1.0000
008872,U+22A8,⊨,1.0000,1.0000
008873,U+22A9,⊩,1.0000,1.0000
008875,U+22AB,⊫,1.0000,1.0000
008882,U+22B2,⊲,1.0000,1.0000
008883,U+22B3,⊳,1.0000,1.0000
008884,U+22B4,⊴,1.0000,1.0000
008885,U+22B5,⊵,1.0000,1.0000
008896,U+22C0,⋀,1.0000,1.0000
008897,U+22C1,⋁,1.0000,1.0000
008898,U+22C2,⋂,1.0000,1.0000
008899,U+22C3,⋃,1.0000,1.0000
008900,U+22C4,⋄,1.0000,1.0000
008901,U+22C5,⋅,1.0000,1.0000
008902,U+22C6,⋆,1.0000,1.0000
008904,U+22C8,⋈,1.0000,1.0000
008943,U+22EF,⋯,1.0000,1.0000
008959,U+22FF,⋿,1.0000,1.0000
008962,U+2302,⌂,0.0000,0.0000
008968,U+2308,⌈,1.0000,1.0000
008969,U+2309,⌉,1.0000,1.0000
008970,U+230A,⌊,1.0000,1.0000
008971,U+230B,⌋,1.0000,1.0000
008977,U+2311,⌑,1.0000,1.0000
008994,U+2322,⌢,1.0000,1.0000
008995,U+2323,⌣,1.0000,1.0000
008998,U+2326,⌦,0.0000,0.0000
009166,U+23CE,⏎,1.0000,1.0000
009472,U+2500,─,1.0000,1.0000
009473,U+2501,━,0.0000,0.0000
009480,U+2508,┈,0.0000,0.0000
009481,U+2509,┉,0.0000,0.0000
009552,U+2550,═,1.0000,1.0000
009633,U+25A1,□,1.0000,1.0000
009641,U+25A9,▩,0.0000,0.0000
009642,U+25AA,▪,0.0000,0.0000
009651,U+25B3,△,1.0000,1.0000
009655,U+25B7,▷,1.0000,1.0000
009656,U+25B8,▸,0.0000,0.0000
009657,U+25B9,▹,1.0000,1.0000
009665,U+25C1,◁,1.0000,1.0000
009667,U+25C3,◃,1.0000,1.0000
009671,U+25C7,◇,1.0000,1.0000
009674,U+25CA,◊,1.0000,1.0000
009675,U+25CB,○,1.0000,1.0000
009755,U+261B,☛,0.0000,0.0000
009824,U+2660,♠,1.0000,1.0000
009825,U+2661,♡,1.0000,1.0000
009826,U+2662,♢,1.0000,1.0000
009827,U+2663,♣,1.0000,1.0000
009837,U+266D,♭,1.0000,1.0000
009838,U+266E,♮,1.0000,1.0000
009839,U+266F,♯,1.0000,1.0000
010000,U+2710,✐,0.0000,0.0000
010003,U+2713,✓,1.0000,1.0000
010007,U+2717,✗,1.0000,1.0000
010070,U+2756,❖,0.0000,0.0000
010073,U+2759,❙,0.0000,0.0000
010151,U+27A7,➧,0.0000,0.0000
010214,U+27E6,⟦,1.0000,1.0000
010215,U+27E7,⟧,1.0000,1.0000
010216,U+27E8,⟨,1.0000,1.0000
010217,U+27E9,⟩,1.0000,1.0000
010218,U+27EA,⟪,1.0000,1.0000
010219,U+27EB,⟫,1.0000,1.0000
010229,U+27F5,⟵,2.0000,2.0000
010230,U+27F6,⟶,2.0000,2.0000
010231,U+27F7,⟷,2.0000,2.0000
010232,U+27F8,⟸,2.0000,2.0000
010233,U+27F9,⟹,2.0000,2.0000
010234,U+27FA,⟺,2.0000,2.0000
010236,U+27FC,⟼,2.0000,2.0000
010496,U+2900,⤀,1.0000,1.0000
010510,U+290E,⤎,3.0000,3.0000
010511,U+290F,⤏,3.0000,3.0000
010516,U+2914,⤔,1.0000,1.0000
010517,U+2915,⤕,1.0000,1.0000
010518,U+2916,⤖,1.0000,1.0000
010524,U+291C,⤜,1.0000,1.0000
010625,U+2981,⦁,1.0000,1.0000
010626,U+2982,⦂,1.0000,1.0000
010627,U+2983,⦃,1.0000,1.0000
010628,U+2984,⦄,1.0000,1.0000
010631,U+2987,⦇,1.0000,1.0000
010632,U+2988,⦈,1.0000,1.0000
010633,U+2989,⦉,1.0000,1.0000
010634,U+298A,⦊,1.0000,1.0000
010745,U+29F9,⧹,1.0000,1.0000
010752,U+2A00,⨀,1.0000,1.0000
010753,U+2A01,⨁,1.0000,1.0000
010754,U+2A02,⨂,1.0000,1.0000
010756,U+2A04,⨄,1.0000,1.0000
010757,U+2A05,⨅,1.0000,1.0000
010758,U+2A06,⨆,1.0000,1.0000
010781,U+2A1D,⨝,1.0000,1.0000
010783,U+2A1F,⨟,1.0000,1.0000
010785,U+2A21,⨡,1.0000,1.0000
010814,U+2A3E,⨾,1.0000,1.0000
010815,U+2A3F,⨿,1.0000,1.0000
010852,U+2A64,⩤,1.0000,1.0000
010853,U+2A65,⩥,1.0000,1.0000
010885,U+2A85,⪅,1.0000,1.0000
010886,U+2A86,⪆,1.0000,1.0000
010914,U+2AA2,⪢,1.0000,1.0000
010996,U+2AF4,⫴,1.0000,1.0000
011005,U+2AFD,⫽,1.0000,1.0000
011007,U+2AFF,⫿,1.0000,1.0000
011034,U+2B1A,⬚,0.0000,0.0000
119964,U+1D49C,𝒜,1.0000,1.0000
119966,U+1D49E,𝒞,1.0000,1.0000
119967,U+1D49F,𝒟,1.0000,1.0000
119970,U+1D4A2,𝒢,1.0000,1.0000
119973,U+1D4A5,𝒥,1.0000,1.0000
119974,U+1D4A6,𝒦,1.0000,1.0000
119977,U+1D4A9,𝒩,1.0000,1.0000
119978,U+1D4AA,𝒪,1.0000,1.0000
119979,U+1D4AB,𝒫,1.0000,1.0000
119980,U+1D4AC,𝒬,1.0000,1.0000
119982,U+1D4AE,𝒮,1.0000,1.0000
119983,U+1D4AF,𝒯,1.0000,1.0000
119984,U+1D4B0,𝒰,1.0000,1.0000
119985,U+1D4B1,𝒱,1.0000,1.0000
119986,U+1D4B2,𝒲,1.0000,1.0000
119987,U+1D4B3,𝒳,1.0000,1.0000
119988,U+1D4B4,𝒴,1.0000,1.0000
119989,U+1D4B5,𝒵,1.0000,1.0000
