code	v18	v20	diff	rel%
8885	1.398	1.399	0.001	0.1
8896	1.5	1.5	0.000	0.0
8897	1.5	1.5	0.000	0.0
8898	1.5	1.5	0.000	0.0
8899	1.5	1.5	0.000	0.0
8900	0.901	0.901	0.000	0.0
8901	0.499	0.498	-0.001	-0.2
8902	0.901	0.901	0.000	0.0
8904	1.3	1.299	-0.001	-0.1
8943	1.8	1.801	0.001	0.1
8959	1.255	1.255	0.000	0.0
8968	0.8	0.799	-0.001	-0.1
8969	0.8	0.799	-0.001	-0.1
8970	0.8	0.799	-0.001	-0.1
8971	0.8	0.799	-0.001	-0.1
8994	1.8	1.801	0.001	0.1
8995	1.8	1.801	0.001	0.1
9472	1.398	1.399	0.001	0.1
9552	1.398	1.399	0.001	0.1
9633	1.344	1.345	0.001	0.1
9651	1.3	1.299	-0.001	-0.1
9655	1.388	1.388	0.000	0.0
9657	0.901	0.901	0.000	0.0
9665	1.388	1.388	0.000	0.0
9667	0.901	0.901	0.000	0.0
9671	1.437	1.438	0.001	0.1
9674	1.199	1.199	0.000	0.0
9675	1.398	1.399	0.001	0.1
9824	1.398	1.399	0.001	0.1
9825	1.398	1.399	0.001	0.1
9826	1.398	1.399	0.001	0.1
9827	1.398	1.399	0.001	0.1
9837	0.699	0.699	0.000	0.0
9838	0.699	0.699	0.000	0.0
9839	0.699	0.699	0.000	0.0
10003	1.303	1.304	0.001	0.1
10007	1.112	1.112	0.000	0.0
10214	0.725	0.726	0.001	0.1
10215	0.725	0.726	0.001	0.1
10216	0.699	0.699	0.000	0.0
10217	0.699	0.699	0.000	0.0
10218	0.942	0.942	0.000	0.0
10219	0.86	0.861	0.001	0.1
10229	2.97	2.971	0.001	0.0
10230	2.97	2.971	0.001	0.0
10231	2.97	2.971	0.001	0.0
10232	2.97	2.971	0.001	0.0
10233	2.97	2.971	0.001	0.0
10234	2.97	2.971	0.001	0.0
10236	2.97	2.971	0.001	0.0
10496	1.744	1.744	0.000	0.0
10510	3.942	3.945	0.003	0.1
10511	3.941	3.944	0.003	0.1
10516	1.742	1.742	0.000	0.0
10517	1.742	1.742	0.000	0.0
